Kernel type,No. Clusters,C (SVM),Gamma (SVM),Degree (poly kernel),Acc. Train,Acc. Test
linear,50,0.1584893192461111,0,0,0.8073736338034204,0.8166813863241001
linear,100,0.00630957344480193,0,0,0.8473680090361267,0.9073250367991436
linear,200,0.00630957344480193,0,0,0.918054685467428,0.9147464204469423
linear,400,0.00630957344480193,0,0,0.970889964629058,0.8684571122708418
linear,800,0.00025118864315095795,0,0,0.9584753176885513,0.9607065435568045
linear,1200,0.00025118864315095795,0,0,0.9789719708400774,0.946995851732905
